20230319 20:50:21.067179 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.067188 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.067203 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.067211 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.067218 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.067224 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.067232 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.067246 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.067259 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.067273 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.067656 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.067701 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.067720 56901 ERROR TcpConnection::Shutdown shutdown failed - tcpconnection.cc:130
20230319 20:50:21.067729 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.067761 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.067774 56901 ERROR TcpConnection::Shutdown shutdown failed - tcpconnection.cc:130
20230319 20:50:21.067784 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.067820 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.067839 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.067859 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.067878 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.067923 56901 ERROR TcpConnection::Shutdown shutdown failed - tcpconnection.cc:130
20230319 20:50:21.067935 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.067964 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.067986 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.067999 56901 ERROR TcpConnection::Shutdown shutdown failed - tcpconnection.cc:130
20230319 20:50:21.068007 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.068030 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.068056 56900 ERROR TcpConnection::Shutdown shutdown failed - tcpconnection.cc:130
20230319 20:50:21.068070 56900 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.068627 56900 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.068669 56900 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.068693 56900 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.068712 56900 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.068734 56900 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.068753 56900 ERROR TcpConnection::Shutdown shutdown failed - tcpconnection.cc:130
20230319 20:50:21.068762 56900 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.069821 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.070437 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.070571 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.070592 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.070601 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.070610 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.070627 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.070643 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.070654 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.070667 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.070603 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.070702 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.070734 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.070741 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.070742 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.070749 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.070765 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.070791 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.070808 56901 ERROR TcpConnection::Shutdown shutdown failed - tcpconnection.cc:130
20230319 20:50:21.070819 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.070819 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.070832 56901 ERROR TcpConnection::Shutdown shutdown failed - tcpconnection.cc:130
20230319 20:50:21.070834 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.070840 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.070853 56901 ERROR TcpConnection::Shutdown shutdown failed - tcpconnection.cc:130
20230319 20:50:21.070862 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.070867 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.070872 56901 ERROR TcpConnection::Shutdown shutdown failed - tcpconnection.cc:130
20230319 20:50:21.070880 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.070890 56901 ERROR TcpConnection::Shutdown shutdown failed - tcpconnection.cc:130
20230319 20:50:21.070894 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.070898 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.070908 56901 ERROR TcpConnection::Shutdown shutdown failed - tcpconnection.cc:130
20230319 20:50:21.070909 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.070916 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.070916 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.070926 56901 ERROR TcpConnection::Shutdown shutdown failed - tcpconnection.cc:130
20230319 20:50:21.070934 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.070937 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.070944 56901 ERROR TcpConnection::Shutdown shutdown failed - tcpconnection.cc:130
20230319 20:50:21.070946 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.070952 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.070962 56901 ERROR TcpConnection::Shutdown shutdown failed - tcpconnection.cc:130
20230319 20:50:21.070970 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.070983 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.070994 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.071007 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.071017 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.071038 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.071070 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.071082 56901 ERROR TcpConnection::Shutdown shutdown failed - tcpconnection.cc:130
20230319 20:50:21.071091 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.071113 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.071131 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.071151 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.071162 56901 ERROR TcpConnection::Shutdown shutdown failed - tcpconnection.cc:130
20230319 20:50:21.071171 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.071181 56901 ERROR TcpConnection::Shutdown shutdown failed - tcpconnection.cc:130
20230319 20:50:21.071191 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.071205 56901 ERROR TcpConnection::Shutdown shutdown failed - tcpconnection.cc:130
20230319 20:50:21.071214 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.071225 56901 ERROR TcpConnection::Shutdown shutdown failed - tcpconnection.cc:130
20230319 20:50:21.071296 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.071309 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.071347 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.071384 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.071391 56901 ERROR TcpConnection::Shutdown shutdown failed - tcpconnection.cc:130
20230319 20:50:21.071392 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.071405 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.071414 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.071417 56901 ERROR TcpConnection::Shutdown shutdown failed - tcpconnection.cc:130
20230319 20:50:21.071425 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.071435 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.071444 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
