20230319 20:50:00.748236 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#52] from 127.0.0.1:49340 - tcpserver.cc:53
20230319 20:50:00.748241 56899 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.748246 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#53] from 127.0.0.1:49346 - tcpserver.cc:53
20230319 20:50:00.748247 56900 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.748251 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#54] from 127.0.0.1:49348 - tcpserver.cc:53
20230319 20:50:00.748258 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#55] from 127.0.0.1:49354 - tcpserver.cc:53
20230319 20:50:00.748260 56899 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.748266 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#56] from 127.0.0.1:49366 - tcpserver.cc:53
20230319 20:50:00.748267 56900 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.748274 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#57] from 127.0.0.1:49374 - tcpserver.cc:53
20230319 20:50:00.748281 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#58] from 127.0.0.1:49384 - tcpserver.cc:53
20230319 20:50:00.748283 56900 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.748285 56899 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.748286 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#59] from 127.0.0.1:49398 - tcpserver.cc:53
20230319 20:50:00.748301 56900 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.748322 56902 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.748340 56902 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.748396 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#60] from 127.0.0.1:49406 - tcpserver.cc:53
20230319 20:50:00.748450 56902 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.748452 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#44] - tcpserver.cc:38
20230319 20:50:00.748455 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#40] - tcpserver.cc:38
20230319 20:50:00.748457 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#56] - tcpserver.cc:38
20230319 20:50:00.748458 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#57] - tcpserver.cc:38
20230319 20:50:00.748461 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#45] - tcpserver.cc:38
20230319 20:50:00.748462 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#49] - tcpserver.cc:38
20230319 20:50:00.748463 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#48] - tcpserver.cc:38
20230319 20:50:00.748474 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#61] from 127.0.0.1:49412 - tcpserver.cc:53
